close,high,low,open,time,volumefrom,volumeto,datetime
0.02637,0.02706,0.02637,0.02706,20:00:00,745881.83,19668.9,2019-05-31
0.02681,0.0269,0.0263,0.0263,21:00:00,23830.87,638.91,2019-05-31
0.0266,0.0272,0.02643,0.02677,22:00:00,43545.95,1158.32,2019-05-31
0.02729,0.02729,0.02661,0.02661,23:00:00,93556.28,2553.15,2019-05-31
0.02663,0.02731,0.02637,0.02731,00:00:00,52129.61,1388.21,2019-06-01
0.02636,0.02636,0.02636,0.02636,01:00:00,29094.61,766.93,2019-06-01
0.02643,0.02652,0.02609,0.02652,02:00:00,156280.92,4130.5,2019-06-01
0.02655,0.02664,0.02629,0.02646,03:00:00,73250.77,1944.81,2019-06-01
0.02695,0.02695,0.02626,0.02661,04:00:00,38529.24,1038.36,2019-06-01
0.02692,0.02701,0.02632,0.02701,05:00:00,58771.5,1582.13,2019-06-01
0.02634,0.02685,0.02625,0.02685,06:00:00,39325.44,1035.83,2019-06-01
0.02662,0.02705,0.02636,0.02636,07:00:00,83372.87,2219.39,2019-06-01
0.0263,0.02665,0.0263,0.02656,08:00:00,162139.44,4264.27,2019-06-01
0.02637,0.02637,0.0262,0.0262,09:00:00,20017.47,527.86,2019-06-01
0.02612,0.02628,0.02612,0.02628,10:00:00,416.13,10.87,2019-06-01
0.02627,0.02627,0.02627,0.02627,11:00:00,3472.39,91.22,2019-06-01
0.02626,0.02635,0.02626,0.02635,12:00:00,1618.1,42.49,2019-06-01
0.02623,0.02648,0.02614,0.02614,13:00:00,41434.26,1086.82,2019-06-01
0.02616,0.02616,0.02616,0.02616,14:00:00,1350.08,35.32,2019-06-01
0.02654,0.02654,0.02628,0.02628,15:00:00,3252.46,86.32,2019-06-01
0.02648,0.02657,0.02606,0.02657,16:00:00,53614.16,1419.7,2019-06-01
0.02618,0.02661,0.02618,0.02661,17:00:00,7047.93,184.51,2019-06-01
0.02617,0.02677,0.02617,0.02617,18:00:00,7368.68,192.84,2019-06-01
0.02606,0.02606,0.02606,0.02606,19:00:00,2629.72,68.53,2019-06-01
0.0256,0.02612,0.02535,0.02612,20:00:00,243943.08,6244.94,2019-06-01
0.02613,0.02647,0.02553,0.02562,21:00:00,639468.41,16709.31,2019-06-01
0.02617,0.02617,0.02549,0.02608,22:00:00,213602.76,5589.98,2019-06-01
0.02606,0.02615,0.02555,0.02615,23:00:00,186574.45,4862.13,2019-06-01
0.02596,0.02613,0.02553,0.02613,00:00:00,101552.1,2636.29,2019-06-02
0.02589,0.02607,0.02572,0.02598,01:00:00,67896.25,1757.83,2019-06-02
0.02633,0.02633,0.02582,0.02591,02:00:00,62732.49,1651.75,2019-06-02
0.02698,0.02698,0.02637,0.02672,03:00:00,206705.59,5576.92,2019-06-02
0.02651,0.02703,0.02625,0.02703,04:00:00,38225.78,1013.37,2019-06-02
0.02653,0.02688,0.02645,0.02645,05:00:00,635289.12,16854.22,2019-06-02
0.0264,0.02692,0.0264,0.02657,06:00:00,29450.19,777.49,2019-06-02
0.02668,0.02686,0.02642,0.02642,07:00:00,28322.48,755.64,2019-06-02
0.02662,0.02689,0.02662,0.02689,08:00:00,257980.64,6867.44,2019-06-02
0.02631,0.02631,0.02623,0.02623,09:00:00,2859.19,75.23,2019-06-02
0.02636,0.02644,0.02627,0.02636,10:00:00,13394.0,353.07,2019-06-02
0.02637,0.02637,0.02637,0.02637,11:00:00,688.08,18.14,2019-06-02
0.02655,0.02698,0.02638,0.02638,12:00:00,174635.07,4636.56,2019-06-02
0.02662,0.02662,0.02645,0.02645,13:00:00,891.96,23.74,2019-06-02
0.02645,0.02671,0.02645,0.02671,14:00:00,1241.0,32.82,2019-06-02
0.02643,0.0266,0.02643,0.02643,15:00:00,2146.48,56.73,2019-06-02
0.02655,0.02655,0.02646,0.02646,16:00:00,2831.18,75.17,2019-06-02
0.02662,0.02662,0.02662,0.02662,17:00:00,0.0,0.0,2019-06-02
0.02673,0.02673,0.02673,0.02673,18:00:00,0.0,0.0,2019-06-02
0.02704,0.02739,0.02669,0.02669,19:00:00,19613.5,530.35,2019-06-02
0.02687,0.02851,0.02643,0.02687,20:00:00,984398.32,26450.78,2019-06-02
0.02646,0.02689,0.02646,0.02689,21:00:00,316886.48,8384.82,2019-06-02
0.0268,0.0268,0.02646,0.02646,22:00:00,2880.0,77.18,2019-06-02
0.02701,0.02718,0.02657,0.02675,23:00:00,61575.32,1663.15,2019-06-02
0.02713,0.02713,0.02643,0.02704,00:00:00,15487.25,420.17,2019-06-03
0.02633,0.02684,0.02633,0.02684,01:00:00,78698.32,2072.13,2019-06-03
0.02605,0.02673,0.02596,0.02613,02:00:00,211174.95,5501.11,2019-06-03
0.02591,0.026,0.02591,0.02591,03:00:00,2713.22,70.3,2019-06-03
0.02582,0.02599,0.02582,0.0259,04:00:00,52251.51,1349.13,2019-06-03
0.02603,0.02603,0.02586,0.02586,05:00:00,8257.25,214.94,2019-06-03
0.02623,0.02623,0.02623,0.02623,06:00:00,0.0,0.0,2019-06-03
0.02603,0.02679,0.02603,0.02611,07:00:00,206708.33,5380.62,2019-06-03
0.02621,0.02638,0.02612,0.02612,08:00:00,3950.54,103.54,2019-06-03
0.026,0.02617,0.02591,0.02591,09:00:00,83360.89,2167.38,2019-06-03
0.02587,0.02587,0.02587,0.02587,10:00:00,0.0,0.0,2019-06-03
0.02619,0.02619,0.02611,0.02611,11:00:00,470.0,12.31,2019-06-03
0.02654,0.02654,0.02637,0.02637,12:00:00,2009.09,53.32,2019-06-03
0.02634,0.02634,0.02634,0.02634,13:00:00,2357.4,62.09,2019-06-03
0.02646,0.02663,0.02646,0.02663,14:00:00,3226.78,85.38,2019-06-03
0.02665,0.02665,0.02647,0.02647,15:00:00,4263.57,113.62,2019-06-03
0.02611,0.02671,0.02611,0.02662,16:00:00,15722.92,410.53,2019-06-03
0.02651,0.02659,0.02591,0.02591,17:00:00,6417.67,170.13,2019-06-03
0.02644,0.02644,0.02644,0.02644,18:00:00,0.0,0.0,2019-06-03
0.02579,0.02579,0.02539,0.02539,19:00:00,53476.22,1379.15,2019-06-03
0.02427,0.02539,0.02427,0.02531,20:00:00,111442.63,2704.71,2019-06-03
0.0252,0.02528,0.02392,0.0244,21:00:00,628411.68,15835.97,2019-06-03
0.02477,0.02525,0.02437,0.02525,22:00:00,72881.9,1805.28,2019-06-03
0.02445,0.02445,0.02437,0.02437,23:00:00,812.0,19.85,2019-06-03
0.02425,0.02464,0.02425,0.02464,00:00:00,1904.7,46.19,2019-06-04
0.02419,0.02467,0.02419,0.02419,01:00:00,51416.82,1243.77,2019-06-04
0.02386,0.02434,0.02378,0.02394,02:00:00,83364.66,1989.08,2019-06-04
0.02392,0.02392,0.02392,0.02392,03:00:00,718.82,17.19,2019-06-04
0.02464,0.02464,0.02408,0.02408,04:00:00,46859.79,1154.63,2019-06-04
0.02471,0.02471,0.02471,0.02471,05:00:00,18220.66,450.23,2019-06-04
0.02434,0.02474,0.02434,0.02474,06:00:00,106676.75,2596.51,2019-06-04
0.02414,0.02422,0.02414,0.02422,07:00:00,160000.0,3862.4,2019-06-04
0.0242,0.0242,0.0242,0.0242,08:00:00,0.0,0.0,2019-06-04
0.02527,0.02527,0.02438,0.02438,09:00:00,78711.63,1989.04,2019-06-04
0.02457,0.02513,0.02457,0.02513,10:00:00,8771.76,215.52,2019-06-04
0.02494,0.02494,0.02446,0.02446,11:00:00,5006.66,124.87,2019-06-04
0.02579,0.02673,0.02484,0.02484,12:00:00,394865.18,10183.57,2019-06-04
0.02484,0.02492,0.02477,0.02484,13:00:00,96118.76,2387.59,2019-06-04
0.02599,0.02629,0.02499,0.02499,14:00:00,160601.08,4174.02,2019-06-04
0.02508,0.02584,0.02485,0.02584,15:00:00,141633.38,3552.17,2019-06-04
0.025,0.02531,0.02493,0.02523,16:00:00,202319.21,5057.98,2019-06-04
0.0243,0.02513,0.02355,0.02445,17:00:00,3749315.49,91108.37,2019-06-04
0.02465,0.02542,0.02465,0.02481,18:00:00,22465.06,553.76,2019-06-04
