close,high,low,open,time,volumefrom,volumeto,datetime
0.02729,0.02729,0.0263,0.02706,20:00:00,906814.93,24019.28,2019-05-31
0.02655,0.02731,0.02609,0.02731,00:00:00,310755.91,8230.45,2019-06-01
0.02662,0.02705,0.02625,0.02661,04:00:00,219999.05,5875.71,2019-06-01
0.02627,0.02665,0.02612,0.02656,08:00:00,186045.43,4894.22,2019-06-01
0.02654,0.02654,0.02614,0.02635,12:00:00,47654.9,1250.95,2019-06-01
0.02606,0.02677,0.02606,0.02657,16:00:00,70660.49,1865.58,2019-06-01
0.02606,0.02647,0.02535,0.02612,20:00:00,1283588.7,33406.36,2019-06-01
0.02698,0.02698,0.02553,0.02613,00:00:00,438886.43,11622.79,2019-06-02
0.02668,0.02703,0.02625,0.02703,04:00:00,731287.57,19400.72,2019-06-02
0.02637,0.02689,0.02623,0.02689,08:00:00,274921.91,7313.88,2019-06-02
0.02643,0.02698,0.02638,0.02638,12:00:00,178914.51,4749.85,2019-06-02
0.02704,0.02739,0.02646,0.02646,16:00:00,22444.68,605.52,2019-06-02
0.02701,0.02851,0.02643,0.02687,20:00:00,1365740.12,36575.93,2019-06-02
0.02591,0.02713,0.02591,0.02704,00:00:00,308073.74,8063.71,2019-06-03
0.02603,0.02679,0.02582,0.0259,04:00:00,267217.09,6944.69,2019-06-03
0.02619,0.02638,0.02587,0.02612,08:00:00,87781.43,2283.23,2019-06-03
0.02665,0.02665,0.02634,0.02637,12:00:00,11856.84,314.41,2019-06-03
0.02579,0.02671,0.02539,0.02662,16:00:00,75616.81,1959.81,2019-06-03
0.02445,0.02539,0.02392,0.02531,20:00:00,813548.21,20365.81,2019-06-03
0.02392,0.02467,0.02378,0.02464,00:00:00,137405.0,3296.23,2019-06-04
0.02414,0.02474,0.02408,0.02408,04:00:00,331757.2,8063.77,2019-06-04
0.02494,0.02527,0.0242,0.0242,08:00:00,92490.05,2329.43,2019-06-04
0.02508,0.02673,0.02477,0.02484,12:00:00,793218.4,20297.35,2019-06-04
0.02598,0.02621,0.02355,0.02523,16:00:00,4087983.1,99678.8,2019-06-04
0.02705,0.0284,0.02575,0.02622,20:00:00,6130689.1,163258.37,2019-06-04
0.02707,0.02777,0.02625,0.02699,00:00:00,988714.38,26685.18,2019-06-05
0.02602,0.02766,0.02579,0.02701,04:00:00,747211.57,20053.64,2019-06-05
0.02564,0.02718,0.02563,0.02593,08:00:00,648255.99,16909.48,2019-06-05
0.02678,0.02709,0.02604,0.02604,12:00:00,83970.91,2238.46,2019-06-05
0.02714,0.02714,0.02622,0.02653,16:00:00,318098.43,8546.82,2019-06-05
0.0267,0.02717,0.02655,0.02717,20:00:00,35966.87,958.94,2019-06-05
0.02624,0.02702,0.02616,0.02661,00:00:00,111411.2,2953.29,2019-06-06
0.02726,0.0275,0.02592,0.02635,04:00:00,483344.87,13128.55,2019-06-06
0.0263,0.02695,0.02584,0.02695,08:00:00,806839.54,21238.37,2019-06-06
0.02597,0.02631,0.02549,0.02631,12:00:00,115921.45,2973.43,2019-06-06
0.02677,0.02677,0.02592,0.02627,16:00:00,30502.76,808.21,2019-06-06
0.02694,0.02741,0.02668,0.02671,20:00:00,266095.6,7165.95,2019-06-06
0.06827,0.0797,0.02672,0.02688,00:00:00,54615897.9,3247964.42,2019-06-07
0.06235,0.07175,0.0587,0.06841,04:00:00,56248969.37,3550305.86,2019-06-07
0.05906,0.06298,0.05633,0.06238,08:00:00,18915769.0,1110117.71,2019-06-07
0.06115,0.06218,0.05717,0.05991,12:00:00,8002215.52,478280.89,2019-06-07
0.07606,0.07902,0.05893,0.06082,16:00:00,22178390.69,1571935.91,2019-06-07
0.06748,0.0781,0.06557,0.07657,20:00:00,11418592.07,779117.47,2019-06-07
0.06257,0.06855,0.06184,0.06767,00:00:00,4461759.42,286198.27,2019-06-08
0.06456,0.06684,0.06202,0.06291,04:00:00,3750131.38,238407.8,2019-06-08
0.06423,0.06955,0.06274,0.06409,08:00:00,4060329.44,266215.55,2019-06-08
0.06419,0.0649,0.06266,0.06345,12:00:00,1281277.83,81407.64,2019-06-08
0.06451,0.06688,0.06308,0.06453,16:00:00,2012100.49,129258.34,2019-06-08
0.05636,0.06428,0.05435,0.06428,20:00:00,4052197.86,229115.47,2019-06-08
0.05725,0.05828,0.05472,0.05638,00:00:00,604879.95,33804.83,2019-06-09
0.05637,0.0582,0.05543,0.05725,04:00:00,537534.06,30391.42,2019-06-09
0.05465,0.05588,0.05371,0.05565,08:00:00,1629278.1,89435.54,2019-06-09
0.05371,0.05491,0.05313,0.05399,12:00:00,919781.45,49300.72,2019-06-09
0.05182,0.05404,0.05144,0.0535,16:00:00,968018.9,50786.98,2019-06-09
0.05509,0.06299,0.05144,0.05159,20:00:00,6182811.75,334895.39,2019-06-09
0.0539,0.05534,0.05313,0.05501,00:00:00,459697.34,24971.54,2019-06-10
0.05401,0.05535,0.05339,0.05386,04:00:00,817498.64,43975.33,2019-06-10
0.05475,0.05541,0.05359,0.0543,08:00:00,793635.65,42967.95,2019-06-10
0.05467,0.05514,0.05385,0.05472,12:00:00,192579.48,10534.96,2019-06-10
0.05621,0.05741,0.05376,0.0544,16:00:00,1263564.26,70474.09,2019-06-10
0.05432,0.05755,0.05426,0.05604,20:00:00,1815946.67,99441.4,2019-06-10
0.05386,0.05489,0.05326,0.05421,00:00:00,694457.08,37378.53,2019-06-11
0.05313,0.05432,0.05243,0.054,04:00:00,822772.09,43857.07,2019-06-11
0.05348,0.05421,0.05287,0.05312,08:00:00,735257.87,39151.6,2019-06-11
0.0535,0.05546,0.05313,0.05405,12:00:00,1070348.09,57312.26,2019-06-11
0.05526,0.05605,0.05357,0.05364,16:00:00,690980.96,37944.62,2019-06-11
0.0541,0.05568,0.05311,0.05475,20:00:00,725824.65,39125.71,2019-06-11
0.05445,0.05494,0.05398,0.05406,00:00:00,476843.93,25903.23,2019-06-12
0.05376,0.0543,0.05322,0.0543,04:00:00,131369.11,7065.89,2019-06-12
0.05323,0.05494,0.05209,0.05383,08:00:00,3363726.54,179768.28,2019-06-12
0.05367,0.05423,0.05284,0.05312,12:00:00,376865.88,20322.71,2019-06-12
0.05364,0.05405,0.05339,0.05339,16:00:00,239248.06,12826.66,2019-06-12
0.05357,0.05532,0.05306,0.05363,20:00:00,1484039.46,80253.67,2019-06-12
0.05191,0.05425,0.05142,0.05374,00:00:00,961382.78,50266.96,2019-06-13
0.05231,0.05231,0.05108,0.05191,04:00:00,218181.65,11233.17,2019-06-13
0.05213,0.05254,0.05112,0.05225,08:00:00,289797.29,15041.69,2019-06-13
0.05199,0.05322,0.05191,0.05199,12:00:00,205898.03,10827.92,2019-06-13
0.05177,0.0529,0.05136,0.0521,16:00:00,338122.46,17530.84,2019-06-13
0.05072,0.0529,0.05068,0.05167,20:00:00,827160.08,42090.79,2019-06-13
0.05098,0.05175,0.05004,0.05093,00:00:00,869375.94,44095.22,2019-06-14
0.05036,0.05147,0.05036,0.05123,04:00:00,156941.19,7933.06,2019-06-14
0.04898,0.05094,0.04898,0.05094,08:00:00,820651.6,40428.96,2019-06-14
0.04967,0.05147,0.04866,0.04866,12:00:00,529155.42,26168.19,2019-06-14
0.05026,0.05123,0.04943,0.04991,16:00:00,79957.31,3991.33,2019-06-14
0.0502,0.05148,0.04994,0.04994,20:00:00,641509.13,32453.88,2019-06-14
0.04988,0.05083,0.04979,0.05024,00:00:00,173714.47,8673.25,2019-06-15
0.04852,0.0498,0.04834,0.0498,04:00:00,365028.31,17942.53,2019-06-15
0.04867,0.04949,0.04819,0.04833,08:00:00,262272.91,12805.19,2019-06-15
0.04898,0.05145,0.04864,0.04902,12:00:00,2603536.21,127775.55,2019-06-15
0.05029,0.05038,0.04869,0.04869,16:00:00,75828.93,3767.1,2019-06-15
0.04879,0.05034,0.04879,0.05017,20:00:00,525222.81,25888.63,2019-06-15
0.04892,0.05036,0.04726,0.04904,00:00:00,3219388.82,155221.35,2019-06-16
0.04968,0.04991,0.04707,0.0478,04:00:00,735055.13,35992.38,2019-06-16
0.04966,0.05131,0.04936,0.04945,08:00:00,537246.32,26823.47,2019-06-16
0.04952,0.04997,0.04878,0.04946,12:00:00,193732.33,9595.94,2019-06-16
0.05015,0.05054,0.04935,0.0496,16:00:00,613091.8,30698.08,2019-06-16
0.05626,0.06402,0.04937,0.05124,20:00:00,6169981.49,352741.66,2019-06-16
0.05509,0.05864,0.05445,0.05634,00:00:00,2341103.64,129661.77,2019-06-17
0.05382,0.05631,0.05253,0.05533,04:00:00,1444699.0,77396.84,2019-06-17
0.05229,0.05446,0.0522,0.05381,08:00:00,686234.64,36405.87,2019-06-17
0.05371,0.05371,0.05242,0.05251,12:00:00,309783.67,16488.93,2019-06-17
0.05484,0.05649,0.05304,0.05351,16:00:00,1677102.86,90429.72,2019-06-17
0.05192,0.05469,0.05176,0.05469,20:00:00,614521.59,32213.32,2019-06-17
0.0628,0.06771,0.05145,0.05187,00:00:00,5896105.39,361943.28,2019-06-18
0.07432,0.0789,0.05942,0.06317,04:00:00,13494798.88,935711.06,2019-06-18
0.06875,0.07478,0.06584,0.07423,08:00:00,7304189.26,512071.96,2019-06-18
0.06849,0.07016,0.06661,0.06814,12:00:00,4719183.11,321243.38,2019-06-18
0.06875,0.07269,0.06747,0.06886,16:00:00,2696132.94,188199.97,2019-06-18
0.0816,0.0841,0.06567,0.06933,20:00:00,13423275.19,1054102.16,2019-06-18
0.08107,0.08227,0.07763,0.08186,00:00:00,4407873.72,351505.31,2019-06-19
0.08286,0.08745,0.07943,0.08096,04:00:00,5042525.67,425219.11,2019-06-19
0.08009,0.08344,0.07935,0.0824,08:00:00,2405572.0,195011.97,2019-06-19
0.08078,0.08124,0.07987,0.08037,12:00:00,2333712.72,188586.57,2019-06-19
0.0818,0.08365,0.08031,0.08085,16:00:00,1258116.06,102400.47,2019-06-19
0.08349,0.0875,0.08108,0.08173,20:00:00,3421901.89,287296.56,2019-06-19
0.07859,0.08385,0.07323,0.08316,00:00:00,6075020.63,470946.7,2019-06-20
0.07668,0.07857,0.07299,0.07821,04:00:00,1519426.17,115344.3,2019-06-20
0.077,0.08092,0.07481,0.07666,08:00:00,1533837.34,120465.15,2019-06-20
0.07773,0.07934,0.0767,0.07682,12:00:00,146077.97,11273.11,2019-06-20
0.07775,0.07975,0.07604,0.07795,16:00:00,299150.89,23011.76,2019-06-20
0.07262,0.08304,0.07098,0.07816,20:00:00,3411945.24,252069.92,2019-06-20
0.07358,0.07671,0.07178,0.07255,00:00:00,1365664.6,99891.52,2019-06-21
0.0733,0.07553,0.07281,0.07345,04:00:00,235109.99,17344.86,2019-06-21
0.07126,0.07425,0.07126,0.07347,08:00:00,608442.12,44194.63,2019-06-21
0.07061,0.07314,0.06923,0.07182,12:00:00,441677.89,31492.22,2019-06-21
0.0701,0.07294,0.06937,0.07076,16:00:00,442044.96,31225.23,2019-06-21
0.07486,0.07998,0.06972,0.06972,20:00:00,3863616.42,290430.62,2019-06-21
0.07493,0.0799,0.0744,0.07532,00:00:00,257455.23,19503.23,2019-06-22
0.06948,0.07638,0.06785,0.07595,04:00:00,1091287.43,77951.59,2019-06-22
